Name,Location,Start,End,Duration,Call,Notes
Kat and Matt,Silo Stage,1:05 PM,1:35 PM,30:00,12:05 PM,
"Love, Georgie",Silo Stage,3:00 PM,3:30 PM,30:00,2:00 PM,
Jahri's World,Silo Stage,4:30 PM,5:00 PM,30:00,3:30 PM,
The Liquid Hotplates,East Quad Stage,12:35 PM,12:50 PM,15:00,11:35 AM,
The 39th Floor,East Quad Stage,1:00 PM,1:25 PM,25:00,12:00 PM,
Supercommon,East Quad Stage,1:35 PM,2:00 PM,25:00,12:35 PM,
Valerie Navarrete,East Quad Stage,2:10 PM,2:35 PM,25:00,1:10 PM,
Kindred Spirits,East Quad Stage,2:45 PM,3:20 PM,35:00,1:45 PM,
Rainbow City Park,East Quad Stage,3:30 PM,4:00 PM,30:00,2:30 PM,
Davis Chinese Orchestra,Russell Stage,12:00 PM,12:15 PM,15:00,11:00 AM,
Mariachi Cielito Lindo,Russell Stage,12:55 PM,1:40 PM,45:00,11:55 AM,
UC Davis Chamber Singers,Russell Stage,1:50 PM,2:05 PM,15:00,12:50 PM,
Afro Vibes,Russell Stage,2:15 PM,2:30 PM,15:00,1:15 PM,
Bakuhatsu Taiko Dan,Russell Stage,2:40 PM,3:00 PM,20:00,1:40 PM,
San Kazakgascar,Sciences Lab Building Patio,12:00 PM,12:30 PM,30:00,11:00 AM,
Stand Up Comedy Club,Sciences Lab Building Patio,12:40 PM,12:55 PM,15:00,11:40 AM,
Rocky Horror Club,Sciences Lab Building Patio,1:05 PM,1:20 PM,15:00,12:05 PM,
Davis Swing Dancers,Sciences Lab Building Patio,1:30 PM,1:45 PM,15:00,12:30 PM,
Davis Local Vocals,Sciences Lab Building Patio,1:55 PM,2:25 PM,30:00,12:55 PM,
The Cleftomaniacs,Sciences Lab Building Patio,2:35 PM,2:50 PM,15:00,1:35 PM,
Video Game Orchestra,Wellman Hall Stage,12:00 PM,12:30 PM,30:00,11:00 AM,
Guitar Club,Wellman Hall Stage,2:25 PM,2:55 PM,30:00,1:25 PM,
The New Harmony Jazz,Wellman Hall Stage,3:05 PM,3:35 PM,30:00,2:05 PM,
Bossa Saurus,Wellman Hall Stage,3:45 PM,4:00 PM,15:00,2:45 PM,
